OverallQual,GarageCars,ExterQual,GrLivArea,FullBath,KitchenQual,YearBuilt,1stFlrSF,BsmtQual,Fireplaces,SalePrice
7,2,Gd,1710,2,Gd,2003,856,Gd,0,208500
6,2,TA,1262,2,TA,1976,1262,Gd,1,181500
7,2,Gd,1786,2,Gd,2001,920,Gd,1,223500
7,3,TA,1717,1,Gd,1915,961,TA,1,140000
8,3,Gd,2198,2,Gd,2000,1145,Gd,1,250000
5,2,TA,1362,1,TA,1993,796,Gd,0,143000
8,2,Gd,1694,2,Gd,2004,1694,Ex,1,307000
7,2,TA,2090,2,TA,1973,1107,Gd,2,200000
7,2,TA,1774,2,TA,1931,1022,TA,2,129900
5,1,TA,1077,1,TA,1939,1077,TA,2,118000
5,1,TA,1040,1,TA,1965,1040,TA,0,129500
9,3,Ex,2324,3,Ex,2005,1182,Ex,2,345000
5,1,TA,912,1,TA,1962,912,TA,0,144000
7,3,Gd,1494,2,Gd,2006,1494,Gd,1,279500
6,1,TA,1253,1,TA,1960,1253,TA,1,157000
7,2,TA,854,1,TA,1929,854,TA,0,132000
6,2,TA,1004,1,TA,1970,1004,TA,1,149000
4,2,TA,1296,2,TA,1967,1296,,0,90000
5,2,TA,1114,1,Gd,2004,1114,TA,0,159000
5,1,TA,1339,1,TA,1958,1339,TA,0,139000
8,3,Gd,2376,3,Gd,2005,1158,Ex,1,325300
7,1,TA,1108,1,Gd,1930,1108,TA,1,139400
8,2,Gd,1795,2,Gd,2002,1795,Gd,1,230000
5,2,TA,1060,1,TA,1976,1060,Gd,1,129900
5,1,TA,1060,1,Gd,1968,1060,TA,1,154000
8,3,Gd,1600,2,Gd,2007,1600,Gd,1,256300
5,2,TA,900,1,Gd,1951,900,TA,0,134800
8,3,Gd,1704,2,Gd,2007,1704,Ex,1,306000
5,1,TA,1600,1,TA,1957,1600,TA,2,207500
4,1,TA,520,1,Fa,1927,520,TA,0,68500
4,1,TA,1317,1,TA,1920,649,TA,0,40000
5,1,TA,1228,1,Gd,1966,1228,TA,0,149350
8,2,Gd,1234,2,Gd,2007,1234,Ex,0,179900
5,2,TA,1700,1,Gd,1959,1700,TA,1,165500
9,2,Ex,1561,2,Ex,2005,1561,Ex,1,277500
8,3,Gd,2452,3,Gd,2004,1132,Ex,1,309000
5,2,TA,1097,1,TA,1994,1097,Gd,0,145000
5,2,TA,1297,1,TA,1954,1297,TA,1,153000
5,1,TA,1057,1,Gd,1953,1057,TA,0,109000
4,0,TA,1152,2,Fa,1955,1152,,0,82000
6,2,TA,1324,2,TA,1965,1324,TA,1,160000
5,1,TA,1328,1,TA,1959,1328,TA,2,170000
5,2,TA,884,1,Gd,1983,884,Gd,0,144000
5,1,TA,938,1,TA,1975,938,Gd,0,130250
5,1,TA,1150,1,TA,1959,1150,TA,0,141000
9,2,Ex,1752,2,Ex,2005,1752,Ex,1,319900
7,2,Gd,2149,1,Gd,2003,1518,Ex,1,239686
8,3,Gd,1656,2,Gd,2006,1656,Gd,0,249700
4,0,TA,1452,2,TA,1920,736,TA,0,113000
5,1,TA,955,1,TA,1966,955,TA,0,127000
6,2,TA,1470,2,TA,1997,794,Gd,0,177000
6,2,TA,1176,1,TA,1934,816,TA,1,114500
5,2,Fa,816,1,TA,1963,816,Gd,0,110000
9,3,Gd,1842,0,Gd,1981,1842,Ex,1,385000
5,2,TA,1360,1,TA,1955,1360,TA,1,130000
6,2,TA,1425,2,TA,1964,1425,TA,1,180500
8,2,Gd,1739,2,Gd,1999,983,Gd,0,172500
7,2,Gd,1720,2,Gd,2004,860,Gd,0,196500
10,3,Ex,2945,3,Gd,2006,1426,Ex,1,438780
5,1,TA,780,1,TA,1972,780,TA,0,124900
6,2,TA,1158,1,Gd,2004,1158,Gd,0,158000
5,1,TA,1111,1,Fa,1920,581,TA,0,101000
8,2,Gd,1370,2,Gd,2006,1370,Gd,1,202500
7,2,TA,1710,2,TA,1921,902,TA,0,140000
7,2,TA,2034,2,Gd,1997,1057,Gd,0,219500
8,3,Gd,2473,2,Gd,2004,1143,Ex,1,317000
7,2,TA,2207,2,TA,1970,2207,Gd,1,180000
7,2,Gd,1479,2,Gd,2003,1479,Gd,0,226000
4,1,TA,747,1,TA,1945,747,TA,0,80000
7,2,Gd,2287,2,TA,1953,1304,TA,1,225000
7,2,TA,2223,2,TA,1973,2223,Gd,2,244000
4,2,TA,845,1,TA,1982,845,TA,0,129500
7,2,TA,1718,2,TA,1998,885,Gd,1,185000
5,2,TA,1086,1,TA,1954,1086,TA,0,144900
3,1,Gd,1605,2,TA,1915,840,Fa,0,107400
4,1,TA,988,1,TA,1973,526,Gd,0,91000
4,1,TA,952,1,TA,1956,952,TA,0,135750
5,1,TA,1285,1,TA,1948,1072,TA,0,127000
4,0,TA,1768,2,TA,1968,1768,TA,0,136500
5,2,TA,1230,1,TA,1910,682,TA,0,110000
6,1,TA,2142,2,Gd,1968,1182,Gd,1,193500
6,2,TA,1337,2,TA,1998,1337,Ex,0,153500
8,3,TA,1563,2,Gd,2007,1563,Gd,1,245000
5,2,TA,1065,1,TA,1960,1065,TA,0,126500
7,2,TA,1474,2,TA,1995,804,Gd,1,168500
8,2,Gd,2417,2,Gd,1991,1301,Gd,1,260000
6,2,Gd,1560,2,Gd,2005,684,Gd,1,174000
6,2,Gd,1224,2,Gd,2009,612,Gd,0,164500
